Kod,Waga,Waga_Pz,Wilg,Piach,Olej
T20012851,1080,1047,"6,1","5,20","2,38"
T20012931,"819,6","789,6","5,1","9,91","1,91"
T20012941,1140,1075,"5,3","9,60","1,48"
T20012941,"698,6","668,9","7,5","6,55","2,59"
T20012951,"835,4","789,3","7,2","5,56","2,45"
T20012961,804,"770,3","6,8","6,14","2,31"
T20013031,"1359,6",1300,"6,4","6,14","2,27"
T20013051,765,"737,3","8,6","5,56","2,92"
T20013061,606,577,"6,4","6,14","2,67"
T20013141,"761,4","729,9",,"6,42","2,41"
T20013141,"893,4","854,7",,"6,42","1,92"
T20013151,"1237,2",1199,,"6,42","2,77"
T20013161,492,468,,"6,42","2,66"
T20020161,"1835,6","1770,8","6,6","4,97","2,40"
T20020331,"415,9","397,8","6,7","4,97","2,38"
T20020331,772,739,"7,1","4,97","2,46"
T20020341,"1200,4","1161,7","4,3","6,50","2,10"
T20020361,862,"829,6","6,6","4,97","2,25"
T20020431,"1071,6","1024,7","6,6","6,50","2,16"
T20020441,768,"736,2","5,3","7,07","2,08"
T20020451,802,"768,2","7,0","6,25","2,32"
T20020461,"761,2","733,8","7,5","6,50","2,35"
T20020531,"608,2","582,5","6,6","6,55","2,50"
T20020541,"1323,2","1271,4","3,7","5,37","2,32"
T20020551,1572,"1532,3","4,8","7,07","2,21"
T20020561,872,828,"5,6","7,07","2,38"
T20020631,996,957,"5,8","5,37","2,37"
T20020641,"1103,8",1071,"4,5",,"1,42"
T20020641,701,"672,5","7,4","5,37","2,17"
T20020661,874,"838,3","7,2","6,50","2,58"
T20020731,"1152,4","1116,3","5,3","6,55","2,08"
T20020741,"731,4","699,7","6,4","7,07","2,49"
T20020751,876,"849,5","6,3","6,55","2,10"
T20020761,517,"493,5","5,5","5,37","2,14"
T20020841,"971,6",932,"7,0","5,26","2,29"
T20020851,1203,1165,"6,3","5,91","2,33"
T20020861,1268,"1224,5","5,7","5,91","2,38"
T20021031,"893,2",862,"6,9","5,26","2,61"
T20021041,"838,4",806,"4,7","5,91","2,06"
T20021051,1044,"1008,8","7,4","5,26","2,30"
T20021061,675,"644,7","6,0","6,55","2,55"
T20021131,1137,1098,"5,2","6,88","2,41"
T20021141,"857,8","823,6","5,7","4,93","2,11"
T20021151,634,612,"6,9","4,93","2,51"
T20021161,740,"706,2","6,8","6,88","2,01"
T20021231,"1406,8","1348,7","6,5","5,78","2,23"
T20021251,1005,"975,3","7,3","6,88","2,12"
T20021261,809,"769,5","7,0","4,93","3,06"
T20021331,"990,8","956,1","5,8","6,88","2,41"
T20021341,"663,6","635,4","5,9","6,78","2,43"
T20021351,800,"772,6","6,2","6,78","2,18"
T20021431,"952,6","922,1","6,0","5,78","2,44"
T20021441,"882,2","849,7","4,1","6,78","2,17"
T20021451,951,921,"6,7","5,53","2,79"
T20021461,624,592,"6,7","5,53","2,05"
T20021531,"967,4","927,3","5,9","5,53","2,01"
T20021551,"1429,6","1385,9","5,9","4,85","2,28"
T20021561,"919,6","88,5","6,5","4,85","2,28"
T20021731,"956,2","923,8","5,4","5,40","2,15"
T20021741,"871,2","858,5","5,0","5,40","1,97"
T20021751,"683,2","658,5","7,2","4,85","2,24"
T20021761,645,614,"9,1","5,40","2,40"
T20021831,"937,8","897,3","6,4","6,58","2,37"
T20021841,"633,6","611,4","5,3","5,40","2,22"
T20021851,"755,4","727,6","7,2","6,58","2,10"
T20021861,"658,2","630,4","6,1","5,40","2,32"
T20021941,"1038,4",1001,"5,2","6,51","2,27"
T20021951,1020,988,"6,7","6,58","2,61"
T20021961,"876,4","845,7","6,5","6,51","2,80"
T20022031,"1243,2","1202,4","5,8","6,70","2,53"
T20022041,"763,8","734,6","7,2","6,51","2,57"
T20022051,"845,2","821,5","7,5","6,58","2,99"
T20022061,"860,8","833,3","6,7","6,70","2,68"
T20022131,"665,4","648,6","5,4","6,70","2,11"
T20022141,"888,4","858,3","7,1","6,51","2,09"
T20022141,"316,5","316,5","5,9","6,61","2,39"
T20022151,"1159,6","1123,3","6,6","6,61","2,51"
T20022161,"1002,2","962,1","7,8","6,61","2,45"
T20022231,"509,6","473,5","6,2","5,36","2,49"
T20022251,"998,8","961,7","7,1","5,46","2,57"
T20022261,"540,8","514,3","7,0","5,46","2,38"
T20022431,"616,2","591,7","7,1","6,61","2,07"
T20022441,"566,8","542,8","6,5","6,70","2,05"
T20022451,384,"368,3","9,2","6,51","2,34"
T20022461,"896,8","868,8","7,5","5,36","2,33"
T20022531,"1637,2",1558,"7,4","6,20","2,67"
T20022551,1021,985,"7,7","5,36","2,77"
T20022561,"626,6","598,8","7,4","6,09","2,84"
T20022631,"1040,8","1007,1","5,9","6,09","2,43"
T20022641,"1069,4","1027,5","5,1","6,20","1,73"
T20022651,1204,1162,"7,6","6,20","2,53"
T20022661,247,"232,8","8,4","6,09","1,43"
T20022731,691,"723,6","5,9","6,09","2,09"
T20022741,"569,8","548,3","4,9","6,70","2,50"
T20022751,947,"917,2","6,6","7,11","2,58"
T20022761,1033,"1000,5","7,5","7,28","2,41"
T20022831,"959,8","923,4","6,0","7,11","2,40"
T20022841,"1047,2",1074,"5,0","7,07","2,02"
T20022851,1116,1074,"6,8","5,94","2,91"
T20022861,1207,1164,"6,9","5,89","2,52"
T20022931,"796,6","764,8","7,0","6,46","3,23"
T20022941,"361,2","345,2","5,3","5,89","2,18"
T20022951,1139,"1098,8","7,2","5,89","2,32"
T20022961,900,865,"6,3","6,10","2,72"
T20030231,"785,2","755,5","7,3","7,11","2,29"
T20030251,395,"372,3","8,5","7,07","1,79"
T20030261,763,763,"6,5","6,10","2,71"
T20030331,"678,6","645,1","6,6","6,40","1,86"
T20030341,"1084,6","1045,9","6,0","5,70","2,97"
T20030351,1033,"1001,3","6,7","6,46","2,82"
T20030361,1031,"986,3","7,4","6,46","2,56"
T20030361,780,"756,6","6,4","6,54","2,33"
T20030431,"1204,6","1098,7","6,0","5,52","2,14"
T20030441,"981,2","941,1","4,5","5,27","2,18"
T20030451,941,"907,8","7,5","5,70","2,84"
T20030461,1035,"996,6","6,1","5,45","2,55"
T20030541,"1026,2","991,7","4,7","5,45","2,61"
T20030551,866,837,"6,3","5,27","1,95"
T20030561,589,565,"7,0","5,70","2,37"
T20030641,1032,1001,"5,2","5,52","2,57"
T20030651,974,"942,2","6,4","6,10","1,96"
T20030661,1227,"1183,8","6,2","5,52","2,80"
T20030731,"1151,2","1112,4","5,4","5,61","2,58"
T20030741,"741,6","714,9","5,9","5,54","2,06"
T20030751,1166,"1134,2","6,4","7,31","2,20"
T20030761,923,"882,2","7,6","7,31","3,15"
T20030931,"881,6","853,8","6,2","7,31","2,32"
T20030951,1134,1100,"6,2","5,61","2,35"
T20030961,491,"439,9","7,0","6,40","2,02"
T20030961,429,"439,9","7,0","5,27","2,02"
T20031031,893,"859,3","5,1","5,61","2,27"
T20031041,"646,8","621,9","5,7","5,61","2,61"
T20031051,1091,1062,"6,5","6,51","2,13"
T20031131,"834,2","804,7","6,2","6,07","2,30"
T20031141,875,844,"6,1",,"1,95"
T20031151,1290,"1255,5","6,3","5,71","2,33"
T20031161,1196,1149,"8,2","6,07","2,40"
T20031231,"1253,8","1214,1","6,6",,"2,01"
T20031241,"1015,8","977,8","5,7","6,25","2,53"
T20031251,1012,"981,3","6,6","6,25","2,40"
T20031261,903,"863,3","6,7","5,71","2,66"
T20031331,868,838,"5,3","6,06","2,24"
T20031351,1120,1090,"5,4",,"1,97"
T20031361,986,928,"5,9",,"2,19"
T20031431,"698,2","767,3","5,5","5,71","2,23"
T20031441,"796,2",765,"7,2","6,25","2,29"
T20031451,1159,"1126,6","7,0",,"2,19"
T20031631,"1112,4","1067,2","4,9",,"2,21"
T20031641,"688,4","660,2","5,4",,"1,82"
T20031651,1117,"1081,3","6,1",,"1,93"
T20031661,959,928,"4,8","5,94","2,34"
T20031731,"1481,8","1436,9","5,2",,"2,22"
T20031751,1070,"1042,2","5,8",,"2,08"
T20031831,"633,2","604,9","7,7","5,94","2,65"
T20031841,"1069,8","1034,6","5,3","6,07","2,27"
T20031851,820,794,"7,0","5,52","3,52"
T20031941,"888,4",854,"6,2","5,45","2,44"
T20031951,834,"804,2","7,3","7,31","3,04"
T20031961,964,"929,5","5,8","5,45","2,31"
T20032031,"1092,2","1059,8","5,6","6,10","2,06"
T20032041,"719,8","694,1","4,8","7,56","2,29"
T20032051,1046,1015,"6,5","6,10","2,15"
T20032131,"983,4",854,"6,2","6,06","2,27"
T20032151,909,"887,9","5,8","6,10","2,09"
T20032151,418,"408,3","5,8","6,10","2,09"
T20032161,940,"896,6","6,8","7,56","2,21"
T20032341,"1087,8","1047,1","4,7","8,74","2,13"
T20032351,914,"890,2","6,3","8,74","2,04"
T20032361,732,"706,5","6,9","6,06","2,26"
T20032431,"615,8","597,6","6,4","8,13","2,33"
T20032431,"1061,4","1029,9","5,5","7,56","2,20"
T20032441,"594,4",574,"6,5","8,74","2,00"
