Kilo,Data
589,14.01.2021
"580,5",14.01.2021
"2012,5",14.01.2021
674,15.01.2021
"548,5",16.01.2021
"637,5",16.01.2021
"2002,7",18.01.2021
820,18.01.2021
1128,19.01.2021
556,19.01.2021
"1973,5",20.01.2021
513,20.01.2021
317,20.01.2021
2062,21.01.2021
741,21.01.2021
432,21.01.2021
"746,5",22.01.2021
735,22.01.2021
"1556,5",23.01.2021
"910,8",23.01.2021
1355,23.01.2021
1382,23.01.2021
"1395,5",23.01.2021
867,25.01.2021
2074,25.01.2021
932,25.01.2021
868,26.01.2021
850,26.01.2021
1427,26.01.2021
"1302,5",27.01.2021
763,28.01.2021
"801,5",28.01.2021
"2003,5",29.01.2021
697,29.01.2021
"655,5",29.01.2021
550,29.01.2021
"1981,5",29.01.2021
"1070,5",30.01.2021
699,30.01.2021
"539,5",30.01.2021
"1162,5",1.02.2021
1558,1.02.2021
"587,5",1.02.2021
"896,5",1.02.2021
"1160,5",3.02.2021
862,3.02.2021
660,3.02.2021
"806,5",4.02.2021
991,4.02.2021
"948,5",4.02.2021
"958,5",5.02.2021
"681,5",5.02.2021
"862,5",5.02.2021
"699,5",6.02.2021
500,6.02.2021
"1922,5",6.02.2021
"532,6",6.02.2021
911,8.02.2021
869,8.02.2021
"413,5",8.02.2021
421,8.02.2021
"648,5",9.02.2021
778,9.02.2021
1000,9.02.2021
835,10.02.2021
"605,5",10.02.2021
914,11.02.2021
"1602,5",11.02.2021
1695,12.02.2021
"857,5",13.02.2021
1878,15.02.2021
876,15.02.2021
"779,5",16.02.2021
"1555,5",16.02.2021
635,16.02.2021
"428,5",16.02.2021
756,17.02.2021
"816,5",17.02.2021
256,17.02.2021
"744,5",18.02.2021
2346,18.02.2021
"399,5",19.02.2021
"714,5",20.02.2021
"749,5",20.02.2021
"547,5",20.02.2021
721,22.02.2021
"713,5",22.02.2021
506,22.02.2021
1970,22.02.2021
1112,23.02.2021
"2554,5",23.02.2021
"809,5",23.02.2021
929,24.02.2021
"833,5",24.02.2021
"886,5",25.02.2021
"530,5",25.02.2021
1589,25.02.2021
"623,5",26.02.2021
669,26.02.2021
"570,5",27.02.2021
"806,5",27.02.2021
"919,5",27.02.2021
1724,27.02.2021
513,1.03.2021
803,1.03.2021
"3175,5",1.03.2021
606,1.03.2021
"4211,5",3.03.2021
1512,4.03.2021
591,4.03.2021
1335,6.03.2021
"1040,5",6.03.2021
"970,5",6.03.2021
"1395,5",6.03.2021
"646,5",8.03.2021
1169,8.03.2021
724,8.03.2021
484,9.03.2021
1109,9.03.2021
2033,10.03.2021
510,11.03.2021
1381,11.03.2021
734,11.03.2021
1623,11.03.2021
"544,5",12.03.2021
"2024,5",12.03.2021
879,13.03.2021
"650,5",13.03.2021
"668,5",13.03.2021
563,15.03.2021
"507,5",15.03.2021
"2991,5",15.03.2021
4686,16.03.2021
735,16.03.2021
653,17.03.2021
"699,5",17.03.2021
902,17.03.2021
660,17.03.2021
1984,18.03.2021
"536,5",18.03.2021
"1637,5",18.03.2021
728,18.03.2021
"752,5",20.03.2021
"802,5",20.03.2021
"741,5",20.03.2021
"674,5",20.03.2021
748,22.03.2021
793,22.03.2021
"922,5",22.03.2021
"2354,5",24.03.2021
830,24.03.2021
"780,5",24.03.2021
"2812,5",26.03.2021
2438,26.03.2021
1505,26.03.2021
"281,5",27.03.2021
500,27.03.2021
"838,5",27.03.2021
3153,29.03.2021
927,29.03.2021
"2400,5",29.03.2021
846,29.03.2021
"695,5",30.03.2021
"711,5",30.03.2021
726,31.03.2021
791,31.03.2021
"791,5",1.04.2021
855,1.04.2021
"2453,5",1.04.2021
"544,5",6.04.2021
1034,6.04.2021
"1761,5",7.04.2021
2110,7.04.2021
714,7.04.2021
"1978,5",8.04.2021
412,8.04.2021
1609,8.04.2021
603,9.04.2021
1673,9.04.2021
"1025,5",9.04.2021
"895,8",9.04.2021
1492,9.04.2021
"756,5",10.04.2021
727,10.04.2021
"860,5",10.04.2021
"2172,5",12.04.2021
1071,12.04.2021
"1018,5",12.04.2021
1225,13.04.2021
"1059,5",13.04.2021
804,13.04.2021
"787,5",14.04.2021
"567,5",14.04.2021
"581,5",14.04.2021
"518,5",15.04.2021
715,16.04.2021
659,16.04.2021
1365,17.04.2021
"855,5",17.04.2021
840,17.04.2021
"718,5",19.04.2021
440,19.04.2021
1779,20.04.2021
665,20.04.2021
424,20.04.2021
"614,5",20.04.2021
"899,5",21.04.2021
"598,5",21.04.2021
523,21.04.2021
716,22.04.2021
907,22.04.2021
608,23.04.2021
"884,5",23.04.2021
599,23.04.2021
"1230,5",23.04.2021
434,24.04.2021
"745,5",24.04.2021
"1137,5",24.04.2021
"657,5",24.04.2021
1896,26.04.2021
977,26.04.2021
"546,5",26.04.2021
"1775,5",26.04.2021
843,27.04.2021
"861,5",27.04.2021
"511,5",27.04.2021
408,28.04.2021
"701,5",28.04.2021
"872,5",28.04.2021
"858,5",28.04.2021
868,29.04.2021
"1357,5",29.04.2021
983,30.04.2021
"892,5",30.04.2021
"3414,5",30.04.2021
"671,5",30.04.2021
1643,30.04.2021
823,1.05.2021
"793,5",1.05.2021
885,1.05.2021
921,1.05.2021
"953,5",4.05.2021
"696,5",4.05.2021
2162,4.05.2021
664,4.05.2021
914,5.05.2021
"698,5",5.05.2021
"500,5",5.05.2021
1337,5.05.2021
"1337,5",5.05.2021
"816,5",6.05.2021
973,6.05.2021
424,6.05.2021
"669,5",7.05.2021
"810,5",7.05.2021
831,7.05.2021
"541,5",7.05.2021
351,7.05.2021
"479,5",8.05.2021
"212,5",8.05.2021
"848,5",8.05.2021
"284,5",8.05.2021
"1110,5",10.05.2021
"2898,5",10.05.2021
"1408,5",10.05.2021
925,11.05.2021
1184,11.05.2021
"588,5",12.05.2021
653,12.05.2021
812,12.05.2021
413,13.05.2021
"621,5",13.05.2021
341,13.05.2021
"633,5",13.05.2021
529,14.05.2021
257,14.05.2021
"576,5",14.05.2021
570,15.05.2021
"1152,5",15.05.2021
"947,5",15.05.2021
489,15.05.2021
"1288,5",17.05.2021
837,17.05.2021
830,18.05.2021
"750,5",18.05.2021
786,18.05.2021
816,18.05.2021
"897,5",19.05.2021
585,19.05.2021
1955,20.05.2021
457,20.05.2021
790,20.05.2021
1179,21.05.2021
"328,5",21.05.2021
834,21.05.2021
1078,22.05.2021
"971,5",22.05.2021
509,25.05.2021
2461,25.05.2021
"363,5",25.05.2021
606,25.05.2021
"691,5",25.05.2021
"1630,5",25.05.2021
"958,5",26.05.2021
"823,5",26.05.2021
"884,5",26.05.2021
721,26.05.2021
531,27.05.2021
"802,5",27.05.2021
677,27.05.2021
939,28.05.2021
653,28.05.2021
"749,5",29.05.2021
"903,5",29.05.2021
1213,29.05.2021
621,29.05.2021
"1082,5",31.05.2021
"815,5",31.05.2021
540,31.05.2021
"1803,5",1.06.2021
809,1.06.2021
1070,2.06.2021
471,2.06.2021
"583,5",2.06.2021
"878,5",4.06.2021
"750,5",4.06.2021
